ebin_low ebin_high costhbin_low costhbin_high aeff
2.0 2.025 -1.0 -0.9 0.0
2.0 2.025 -0.9 -0.8 0.0
2.0 2.025 -0.8 -0.7 0.0
2.0 2.025 -0.7 -0.6 0.0
2.0 2.025 -0.6 -0.5 0.0
2.0 2.025 -0.5 -0.3999999999999999 0.0
2.0 2.025 -0.3999999999999999 -0.29999999999999993 0.0
2.0 2.025 -0.29999999999999993 -0.19999999999999996 0.0
2.0 2.025 -0.19999999999999996 -0.09999999999999998 0.0
2.0 2.025 -0.09999999999999998 0.0 0.0
2.0 2.025 0.0 0.10000000000000009 0.0
2.0 2.025 0.10000000000000009 0.20000000000000018 0.0
2.0 2.025 0.20000000000000018 0.30000000000000004 0.0
2.0 2.025 0.30000000000000004 0.40000000000000013 0.0
2.0 2.025 0.40000000000000013 0.5 0.0
2.0 2.025 0.5 0.6000000000000001 0.0
2.0 2.025 0.6000000000000001 0.7000000000000002 0.0
2.0 2.025 0.7000000000000002 0.8 0.0
2.0 2.025 0.8 0.9000000000000001 0.0
2.0 2.025 0.9000000000000001 1.0 0.0
2.025 2.05 -1.0 -0.9 0.0
2.025 2.05 -0.9 -0.8 0.0
2.025 2.05 -0.8 -0.7 0.0
2.025 2.05 -0.7 -0.6 0.0
2.025 2.05 -0.6 -0.5 0.0
2.025 2.05 -0.5 -0.3999999999999999 0.0
2.025 2.05 -0.3999999999999999 -0.29999999999999993 0.0
2.025 2.05 -0.29999999999999993 -0.19999999999999996 0.0
2.025 2.05 -0.19999999999999996 -0.09999999999999998 0.0
2.025 2.05 -0.09999999999999998 0.0 0.0
2.025 2.05 0.0 0.10000000000000009 0.0
2.025 2.05 0.10000000000000009 0.20000000000000018 0.0
2.025 2.05 0.20000000000000018 0.30000000000000004 0.0
2.025 2.05 0.30000000000000004 0.40000000000000013 0.0
2.025 2.05 0.40000000000000013 0.5 0.0
2.025 2.05 0.5 0.6000000000000001 0.0
2.025 2.05 0.6000000000000001 0.7000000000000002 0.0
2.025 2.05 0.7000000000000002 0.8 0.0
